extractor,dimension,group_value,n,mean_delta,headroom_ci_lower,headroom_ci_upper,n_win,n_tie,n_loss
hybrid_rrf_prior_fusion,by_provider,azure,24,3.89691740897378e-05,-0.001856650232938295,0.0022089624577695255,2,19,3
hybrid_rrf_prior_fusion,by_provider,gemini,24,5.555193638046019e-05,-0.0035118245834050293,0.00359020484343682,5,16,3
hybrid_rrf_prior_fusion,by_provider,cohere,24,0.0008005728061154191,-0.0006563834477658209,0.0023238112213754595,4,19,1
hybrid_rrf_prior_fusion,by_provider,fireworks,24,0.000728339357869238,-0.0009261449126098295,0.0027340499661495654,3,19,2
hybrid_rrf_prior_fusion,by_provider,aggregate,24,0.0009388955450377231,-0.0006464917451351748,0.0033668953462063175,2,21,1
hybrid_rrf_prior_fusion,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
hybrid_rrf_prior_fusion,by_pool_size,8,60,0.0024362636121986305,0.0009414954913880944,0.004094795217592564,16,42,2
hybrid_rrf_prior_fusion,by_pool_size,10,30,-0.002822664168803198,-0.005114790263937284,-0.0009596477749991061,0,22,8
hybrid_rrf_prior_fusion,by_cyclicity,acyclic,76,0.000823646758853871,-0.0003951522717784311,0.002140530910501795,12,57,7
hybrid_rrf_prior_fusion,by_cyclicity,cyclic,44,-2.502868193346189e-05,-0.0017717233683003277,0.001737210368185625,4,37,3
