method,order,query_id,split,stop_step,budget_frac,stopped,ndcg,ndcg_vs_bm25,ndcg_vs_exhaustive,topk_overlap_vs_exhaustive,exact_topk_match,severe_harm,premature_stop_qrel_label,premature_instability_qrelfree
exhaustive,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,105,1.0,True,0.6426881189719141,0.09849549549967718,0.0,1.0,True,False,False,False
counterfactual_primary,random,51ee97313309157219412b6f5dfb314682b33992,dev,39,0.37142857142857144,True,1.0,0.010393774812847534,0.0,0.8181818181818182,False,False,False,True
counterfactual_conservative,random,51ee97313309157219412b6f5dfb314682b33992,dev,63,0.6,False,1.0,0.010393774812847534,0.0,1.0,True,False,False,False
counterfactual_aggressive,random,51ee97313309157219412b6f5dfb314682b33992,dev,23,0.21904761904761905,True,1.0,0.010393774812847534,0.0,0.6666666666666666,False,False,False,True
simple_recent_stability,random,51ee97313309157219412b6f5dfb314682b33992,dev,6,0.05714285714285714,True,1.0,0.010393774812847534,0.0,0.6666666666666666,False,False,False,True
fixed_0.05,random,51ee97313309157219412b6f5dfb314682b33992,dev,5,0.047619047619047616,True,1.0,0.010393774812847534,0.0,0.6666666666666666,False,False,False,True
fixed_0.10,random,51ee97313309157219412b6f5dfb314682b33992,dev,10,0.09523809523809523,True,1.0,0.010393774812847534,0.0,0.5384615384615384,False,False,False,True
fixed_0.20,random,51ee97313309157219412b6f5dfb314682b33992,dev,21,0.2,True,1.0,0.010393774812847534,0.0,0.6666666666666666,False,False,False,True
exhaustive,random,51ee97313309157219412b6f5dfb314682b33992,dev,105,1.0,True,1.0,0.010393774812847534,0.0,1.0,True,False,False,False
counterfactual_primary,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,30,0.2857142857142857,True,0.8954442351097147,0.10899529246631756,-0.10455576489028529,0.6666666666666666,False,False,True,True
counterfactual_conservative,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,47,0.44761904761904764,True,0.9143656167316339,0.1279166740882367,-0.08563438326836614,0.8181818181818182,False,False,True,True
counterfactual_aggressive,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,21,0.2,True,0.8995023444012693,0.11305340175787215,-0.1004976555987307,0.6666666666666666,False,False,True,True
simple_recent_stability,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,8,0.0761904761904762,True,0.7823908333518426,-0.00405810929155459,-0.21760916664815744,0.5384615384615384,False,False,True,True
fixed_0.05,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,5,0.047619047619047616,True,0.7823908333518426,-0.00405810929155459,-0.21760916664815744,0.5384615384615384,False,False,True,True
fixed_0.10,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,10,0.09523809523809523,True,0.7913446798877494,0.004895737244352216,-0.20865532011225063,0.5384615384615384,False,False,True,True
fixed_0.20,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,21,0.2,True,0.8995023444012693,0.11305340175787215,-0.1004976555987307,0.6666666666666666,False,False,True,True
exhaustive,random,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,dev,105,1.0,True,1.0,0.21355105735660285,0.0,1.0,True,False,False,False
counterfactual_primary,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,5,0.047619047619047616,True,0.9565912771023182,0.013818170332230428,-0.018151675754469743,0.6666666666666666,False,False,False,True
counterfactual_conservative,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,19,0.18095238095238095,True,0.9747429528567879,0.03196984608670017,0.0,0.6666666666666666,False,False,False,True
counterfactual_aggressive,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,4,0.0380952380952381,True,0.9565912771023182,0.013818170332230428,-0.018151675754469743,0.6666666666666666,False,False,False,True
simple_recent_stability,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,6,0.05714285714285714,True,0.9330795243082165,-0.009693582461871242,-0.04166342854857141,0.6666666666666666,False,False,True,True
fixed_0.05,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,5,0.047619047619047616,True,0.9565912771023182,0.013818170332230428,-0.018151675754469743,0.6666666666666666,False,False,False,True
fixed_0.10,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,10,0.09523809523809523,True,0.943473299121064,0.000700192350976292,-0.03126965373572388,0.6666666666666666,False,False,True,True
fixed_0.20,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,21,0.2,True,0.9747429528567879,0.03196984608670017,0.0,0.6666666666666666,False,False,False,True
exhaustive,random,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,dev,105,1.0,True,0.9747429528567879,0.03196984608670017,0.0,1.0,True,False,False,False
counterfactual_primary,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,34,0.3238095238095238,True,0.7598336331031966,0.0,-0.18403252141152826,0.5384615384615384,False,False,True,True
counterfactual_conservative,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,63,0.6,False,0.9267582364714126,0.16692460336821602,-0.017107918043312242,0.8181818181818182,False,False,False,True
counterfactual_aggressive,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,25,0.23809523809523808,True,0.7541985434892589,-0.0056350896139377715,-0.18966761102546603,0.5384615384615384,False,False,True,True
simple_recent_stability,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,4,0.0380952380952381,True,0.6366824387328317,-0.12315119437036492,-0.3071837157818932,0.42857142857142855,False,True,True,True
fixed_0.05,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,5,0.047619047619047616,True,0.6366824387328317,-0.12315119437036492,-0.3071837157818932,0.42857142857142855,False,True,True,True
fixed_0.10,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,10,0.09523809523809523,True,0.7495275800817669,-0.010306053021429729,-0.194338574432958,0.5384615384615384,False,False,True,True
fixed_0.20,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,21,0.2,True,0.7495275800817669,-0.010306053021429729,-0.194338574432958,0.5384615384615384,False,False,True,True
exhaustive,random,7526f88d4ee7a380fecd05c1f92208ad94605cec,dev,105,1.0,True,0.9438661545147249,0.18403252141152826,0.0,1.0,True,False,False,False
counterfactual_primary,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,47,0.44761904761904764,True,0.9505310077117098,0.2661794601912243,-0.039075217475442625,0.8181818181818182,False,False,True,True
counterfactual_conservative,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,63,0.6,False,0.9896062251871525,0.3052546776666669,0.0,1.0,True,False,False,False
counterfactual_aggressive,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,43,0.4095238095238095,True,0.9427731067700877,0.2584215592496022,-0.04683311841706472,0.8181818181818182,False,False,True,True
simple_recent_stability,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,10,0.09523809523809523,True,0.7275908964412754,0.043239348920789844,-0.2620153287458771,0.6666666666666666,False,False,True,True
fixed_0.05,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,5,0.047619047619047616,True,0.7144729184600214,0.03012137093953582,-0.2751333067271311,0.6666666666666666,False,False,True,True
fixed_0.10,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,10,0.09523809523809523,True,0.7275908964412754,0.043239348920789844,-0.2620153287458771,0.6666666666666666,False,False,True,True
fixed_0.20,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,21,0.2,True,0.7294870343865364,0.045135486866050845,-0.2601191908006161,0.6666666666666666,False,False,True,True
exhaustive,random,8bb3a478db8951f42198a885d7245d58036ba55c,dev,105,1.0,True,0.9896062251871525,0.3052546776666669,0.0,1.0,True,False,False,False
counterfactual_primary,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,5,0.047619047619047616,True,0.5050778624218062,-0.01575385185247946,-0.44615333764087994,0.5384615384615384,False,False,True,True
counterfactual_conservative,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,43,0.4095238095238095,True,0.6355827475831716,0.11475103330888592,-0.31564845247951456,0.6666666666666666,False,False,True,True
counterfactual_aggressive,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,3,0.02857142857142857,True,0.5434528875462725,0.022621173271986872,-0.4077783125164136,0.5384615384615384,False,False,True,True
simple_recent_stability,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,4,0.0380952380952381,True,0.5434528875462725,0.022621173271986872,-0.4077783125164136,0.5384615384615384,False,False,True,True
fixed_0.05,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,5,0.047619047619047616,True,0.5050778624218062,-0.01575385185247946,-0.44615333764087994,0.5384615384615384,False,False,True,True
fixed_0.10,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,10,0.09523809523809523,True,0.5050778624218062,-0.01575385185247946,-0.44615333764087994,0.5384615384615384,False,False,True,True
fixed_0.20,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,21,0.2,True,0.5676648326913505,0.046833118417064834,-0.38356636737133565,0.5384615384615384,False,False,True,True
exhaustive,random,a829c1093eb4d78a198ebb9b4a33a8137b0359df,dev,105,1.0,True,0.9512312000626861,0.4303994857884005,0.0,1.0,True,False,False,False
counterfactual_primary,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,45,0.42857142857142855,True,0.5236938779715556,0.4106404762136836,-0.2014305185753864,0.6666666666666666,False,False,True,True
counterfactual_conservative,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,63,0.6,False,0.6516105520597923,0.5385571503019203,-0.0735138444871497,1.0,True,False,False,False
counterfactual_aggressive,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,23,0.21904761904761905,True,0.43889712265598707,0.32584372089811503,-0.286227273890955,0.5384615384615384,False,False,True,True
simple_recent_stability,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,4,0.0380952380952381,True,0.22004653412513583,0.1069931323672638,-0.5050778624218062,0.42857142857142855,False,False,True,True
fixed_0.05,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,5,0.047619047619047616,True,0.32214392924804747,0.20909052749017543,-0.4029804672988946,0.5384615384615384,False,False,True,True
fixed_0.10,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,10,0.09523809523809523,True,0.42018321507940454,0.3071298133215325,-0.3049411814675375,0.5384615384615384,False,False,True,True
fixed_0.20,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,21,0.2,True,0.44295523194754166,0.3299018301896696,-0.2821691645994004,0.5384615384615384,False,False,True,True
exhaustive,random,ac24b99a5db633ce45f053287ca806157fff9663,dev,105,1.0,True,0.725124396546942,0.61207099478907,0.0,1.0,True,False,False,False
counterfactual_primary,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,3,0.02857142857142857,True,0.9708923176105698,0.0,-0.02910768238943018,0.6666666666666666,False,False,True,True
counterfactual_conservative,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,3,0.02857142857142857,True,0.9708923176105698,0.0,-0.02910768238943018,0.6666666666666666,False,False,True,True
counterfactual_aggressive,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,3,0.02857142857142857,True,0.9708923176105698,0.0,-0.02910768238943018,0.6666666666666666,False,False,True,True
simple_recent_stability,random,ba69c46c62b525941e91d0788d20b6ef91847cc4,dev,4,0.0380952380952381,True,0.9668342083190152,-0.00405810929155459,-0.03316579168098477,0.6666666666666666,False,False,True,True
